Timestamp,Symbol,Action,Open/Close/Add,Cost basis,Quantity,PnL
2020-01-16 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3088,11,
2020-01-16 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3088,0.0,61.875
2020-01-21 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3071,14,
2020-01-21 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3071,0.0,-43.74999999998545
2020-01-22 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3142,5,
2020-01-22 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3142,0.0,50.000000000007276
2020-01-30 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3104,5,
2020-01-30 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3104,0.0,18.75
2020-02-12 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2997,12,
2020-02-12 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2997,0.0,-202.5
2020-02-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3042,5,
2020-02-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3042,0.0,50.0
2020-02-18 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3041,15,
2020-02-18 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3041,0.0,-290.62500000001455
2020-02-25 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.296,15,
2020-02-25 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.296,0.0,431.24999999998545
2020-03-05 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2916,7,
2020-03-05 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2916,0.0,210.0
2020-03-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1773,15,
2020-03-24 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1773,0.0,103.1249999999709
2020-03-26 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2005,15,
2020-03-26 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2005,0.0,1640.625
2020-03-31 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2404,15,
2020-03-31 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2404,0.0,328.12500000001455
2020-04-07 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2379,15,
2020-04-07 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2379,0.0,-309.37500000001455
2020-04-08 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2381,15,
2020-04-08 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2381,0.0,168.75000000001455
2020-04-09 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2446,15,
2020-04-09 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2446,0.0,149.99999999998545
2020-04-14 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2587,10,
